pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,tiebreakScore,returnerName,shotHitBy,isInsideOut,isInsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
0-0,0-0,1-0,,2437717,,,48,,5,Ad,Elise Wagle,Far,,,,,,,,,,170.0,487.0,Crosscourt,Backhand,1.0,,,,,,,,,-35.0,-350.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Jo-Yee Chan,Elise Wagle,,,,,0,,,
0-0,0-0,1-0,,2439745,,,48,,6,Ad,Elise Wagle,Far,,,,,,,,,,-77.0,-544.0,Crosscourt,Forehand,,,,,,,,,,69.0,314.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Jo-Yee Chan,Jo-Yee Chan,1,,,,0,,,Short
0-0,0-0,1-0,,2441425,,,48,,7,Ad,Elise Wagle,Far,,,,,,,,,,90.0,495.0,Crosscourt,Backhand,,,,,,,,,,-37.0,-368.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Jo-Yee Chan,Elise Wagle,,,,,0,,,Deep
0-0,0-0,1-0,,2442705,,,48,,8,Ad,Elise Wagle,Far,,,,,,,,,,-80.0,-534.0,Crosscourt,Forehand,,,,,,,,,,83.0,229.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Jo-Yee Chan,Jo-Yee Chan,1,,,,0,,,Short
0-0,0-0,1-0,,2444026,,,48,,9,Ad,Elise Wagle,Far,,,,,,,,,,165.0,476.0,Crosscourt,Backhand,,,,,,,,,,-53.0,-264.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Jo-Yee Chan,Elise Wagle,,,,,0,,,Short
0-0,0-0,1-0,,2445364,,,48,,10,Ad,Elise Wagle,Far,,,,,,,,,,-120.0,-502.0,Crosscourt,Backhand,,,,,,,,,,45.0,264.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Jo-Yee Chan,Jo-Yee Chan,,,,,0,,,Short
0-0,0-0,1-0,,2446572,,,48,,11,Ad,Elise Wagle,Far,,,,,,,,,,104.0,469.0,Crosscourt,Backhand,,,,,,,,,,-117.0,-344.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Jo-Yee Chan,Elise Wagle,,,,,0,,,Short
0-0,0-0,1-0,,2447986,,,48,,12,Ad,Elise Wagle,Far,,,,,,,,,,-149.0,-504.0,Crosscourt,Backhand,,,,,,,,,,19.0,210.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Jo-Yee Chan,Jo-Yee Chan,,,,,0,,,Short
0-0,0-0,1-0,,2449184,1.0,,48,,13,Ad,Elise Wagle,Far,,,,,,,,,,48.0,466.0,Down the Line,Backhand,,,,,,,,,,232.0,0.0,,,1.0,1.0,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Jo-Yee Chan,Elise Wagle,,,,Jo-Yee Chan,1,,,
0-15,0-0,1-0,1.0,2488060,,,49,,1,Ad,Elise Wagle,Far,0.0,Body,-75.0,-263.0,1.0,Body,-83.0,-230.0,,,,,,,,,,,,,,,,,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Jo-Yee Chan,Elise Wagle,,,,,0,2nd Serve In,Body,
0-15,0-0,1-0,,2503751,,,49,,2,Ad,Elise Wagle,Far,,,,,,,,,,-91.0,-448.0,Crosscourt,Forehand,,,,,,,,,,77.0,261.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Jo-Yee Chan,Jo-Yee Chan,1,,,,0,,,Short
0-15,0-0,1-0,,2505152,,,49,,3,Ad,Elise Wagle,Far,,,,,,,,,,160.0,474.0,Crosscourt,Backhand,,,,,,,,,,-43.0,-280.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Jo-Yee Chan,Elise Wagle,,,,,0,,,Short
0-15,0-0,1-0,,2506479,,,49,,4,Ad,Elise Wagle,Far,,,,,,,,,,-101.0,-494.0,Crosscourt,Forehand,,,,,,,,,,93.0,344.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Jo-Yee Chan,Jo-Yee Chan,1,,,,0,,,Short
0-15,0-0,1-0,,2507993,,,49,,5,Ad,Elise Wagle,Far,,,,,,,,,,165.0,482.0,Crosscourt,Backhand,,,,,,,,,1.0,-77.0,-419.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Jo-Yee Chan,Elise Wagle,,,,,0,,,Deep
0-15,0-0,1-0,,2510159,,,49,,6,Ad,Elise Wagle,Far,,,,,,,,,,-101.0,-488.0,Crosscourt,Forehand,,,,,,,,,,27.0,288.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Jo-Yee Chan,Jo-Yee Chan,1,,,,0,,,Short
