pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isTopspin,isFlat,isKick,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
15-0,0-1,0-0,,300059,,,7,,9,Deuce,Miguel Perez Pena,Near,,,,,,,,,,163.1082294399857,-492.7631398,Down the Line,Forehand,,,,,,,,,,57.38090004371489,226.8829068240298,,,,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,,1.0,,,Kaylan Bigun,Miguel Perez Pena,,,,,,,,Short
15-0,0-1,0-0,,301299,,,7,,10,Ad,Miguel Perez Pena,Near,,,,,,,,,,18.08750546805715,492.7433891,Crosscourt,Backhand,,,,,,,,,,-117.5714458,-171.0396107,,,,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,1.0,,,,Kaylan Bigun,Kaylan Bigun,1.0,,,,,,,Short
15-0,0-1,0-0,,302750,,,7,,11,Ad,Miguel Perez Pena,Near,,,,,,,,,,-181.1914097,-494.4453139,Crosscourt,Backhand,,,,,,,,,,47.44681758527732,194.83099846884068,,,,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,1.0,,,,Kaylan Bigun,Miguel Perez Pena,,,,,,,,Short
15-0,0-1,0-0,,303750,1.0,303750.0,7,,12,Ad,Miguel Perez Pena,Near,,,,,,,,,,47.44681758527732,241.0991305773033,Down the Line,,,1.0,,,,,1,,,122.6114227908378,-328.8646927,1.0,,,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,,1.0,,,Kaylan Bigun,Kaylan Bigun,,,,Kaylan Bigun,,,,Short
15-15,0-1,0-0,1.0,339329,,,8,,1,Deuce,Miguel Perez Pena,Near,1.0,T,-19.41864611,244.51817585289203,,,,,,41.96030730531516,-440.4817749,,,,,,,,,,,,,,,,,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,,1.0,,,Kaylan Bigun,Miguel Perez Pena,,,,,,1st Serve In,T,
15-15,0-1,0-0,,340260,,,8,,2,Deuce,Miguel Perez Pena,Near,,,,,,,,,,-62.83793745,522.9457786523982,Down the Line,Backhand,,,,,,,,,,-138.2660761,-186.748808,,,,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,,1.0,,,Kaylan Bigun,Kaylan Bigun,,,,,,,,Short
15-15,0-1,0-0,,342160,1.0,342160.0,8,,3,Ad,Miguel Perez Pena,Near,,,,,,,,,,-159.0157863,-385.1716699,Crosscourt,Backhand,,,,,,,,,,138.0454505686076,336.59665354313324,1.0,,,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,,1.0,,,Kaylan Bigun,Miguel Perez Pena,,,,Miguel Perez Pena,,,,Short
15-30,0-1,0-0,1.0,371359,,,9,,1,Ad,Miguel Perez Pena,Near,1.0,T,46.40608048991478,176.3943350830235,,,,,,-22.75352143,-463.9787402,,,,,,,,,,,,,,,,,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,,1.0,,,Kaylan Bigun,Miguel Perez Pena,,,,,,1st Serve In,T,
15-30,0-1,0-0,,372239,1.0,372239.0,9,,2,Ad,Miguel Perez Pena,Near,,,,,,,,,,101.61896325454067,492.1892224406906,Down the Line,Forehand,,,,,,,,,,174.4338145230945,-341.2106518,,,1.0,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,1.0,,,,Kaylan Bigun,Kaylan Bigun,,,,Miguel Perez Pena,1,,,
30-30,0-1,0-0,1.0,403459,,,10,,1,Deuce,Miguel Perez Pena,Near,0.0,Wide,-118.0112806,367.9061898510786,1.0,Body,-76.51396544,162.13470581793896,,37.59950787399632,-462.9800306,,,,,,,,,,,,,,,,,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,,1.0,,,Kaylan Bigun,Miguel Perez Pena,,,,,,2nd Serve In,Body,
