pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isTopspin,isFlat,isKick,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
0-15,2-1,0-0,1.0,562999,,,17,,1,Ad,Thomas Paulsell,Far,0.0,Body,-94.4717136919897,5.337997594048,1.0,Body,-59.1942858704856,-175.936012685823,,-0.117049431321024,495.567886045238,,,,,,,,,,,,,,,,,1.0,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,,1.0,,,Spencer Johnson,Thomas Paulsell,,,,,,2nd Serve In,Body,
0-15,2-1,0-0,,580999,,,17,,2,Ad,Thomas Paulsell,Far,,,,,,,,,,-79.9293744531521,-457.151060804663,Down the Line,Backhand,,,,,,,,,,-8.48910761154417,305.77330489923,,,,,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,1.0,,,,Spencer Johnson,Spencer Johnson,,1.0,,,,,,Short
0-15,2-1,0-0,,583000,1.0,583000.0,17,,3,Ad,Thomas Paulsell,Far,,,,,,,,,,14.3986493875691,525.485804899116,Down the Line,Forehand,,,,,,,,,,130.448146325392,-255.7146161416,1.0,,,,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,1.0,,,,Spencer Johnson,Thomas Paulsell,,1.0,,Thomas Paulsell,,,,Short
15-15,2-1,0-0,1.0,608000,,,18,,1,Deuce,Thomas Paulsell,Far,1.0,Wide,139.471478565107,-226.390633201983,,,,,,-54.6938156167696,497.752974627914,,,1.0,,,,,,,,,,,,,,,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,,,,,Spencer Johnson,Thomas Paulsell,,,,,,1st Serve In,Wide,
15-15,2-1,0-0,,608999,,,18,,2,Deuce,Thomas Paulsell,Far,,,,,,,,,,177.676634951789,-477.217229877269,Down the Line,Backhand,,,,,,,,,,22.2243110236106,368.693192257027,,,,,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,1.0,,,,Spencer Johnson,Spencer Johnson,,,,,,,,Deep
15-15,2-1,0-0,,609999,,,18,,3,Ad,Thomas Paulsell,Far,,,,,,,,,,10.6779090113681,523.571751968234,Down the Line,Forehand,,,,,,,,,,24.9279308836267,-236.466223753159,,,,,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,1.0,,,,Spencer Johnson,Thomas Paulsell,,1.0,,,,,,Short
15-15,2-1,0-0,,611000,,,18,,4,Deuce,Thomas Paulsell,Far,,,,,,,,,,35.4213473315653,-463.67784886240304,Crosscourt,Forehand,,,,,,,,,,-94.9629538494698,372.622194881697,,,,,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,,1.0,,,Spencer Johnson,Spencer Johnson,1.0,,,,,,,Deep
15-15,2-1,0-0,,612999,1.0,612999.0,18,,5,Deuce,Thomas Paulsell,Far,,,,,,,,,,-126.940414479375,564.106069553514,Down the Line,Forehand,,,,,,,,,,-38.1312445319138,195.054762685814,,,,1.0,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,1.0,,,,Spencer Johnson,Thomas Paulsell,,,,Spencer Johnson,1,,,
15-30,2-1,0-0,1.0,644999,,,19,,1,Ad,Thomas Paulsell,Far,0.0,T,-11.6444663167044,-273.852837926368,0.0,T,-33.3839676290291,-283.436767278944,,0.304910323709379,457.050508529948,,,,,,,,,,,,,,,,,,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,,1.0,,,Spencer Johnson,Thomas Paulsell,,,,,,Double Fault,T,
15-30,2-1,0-0,,656999,1.0,656999.0,19,,2,Ad,Thomas Paulsell,Far,,,,,,,,,,-46.653882327185,-464.41405839871,Crosscourt,Backhand,,,,,,,,,,94.2925032807912,292.287893700636,1.0,,,,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,,1.0,,,Spencer Johnson,Spencer Johnson,1.0,,,Spencer Johnson,,,,Short
