pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
30-15,0-1,0-0,1.0,832824,,,9,,1,Ad,Rudy Quan,Near,0.0,T,-8.0,233.0,1.0,Body,70.0,209.0,,,,,,,,,,,,,,,,,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Rudy Quan,,,,,,2nd Serve In,Body,
30-15,0-1,0-0,,872062,,,9,,2,Ad,Rudy Quan,Near,,,,,,,,,,70.0,460.0,Down the Line,Forehand,,,,,,,,,,67.0,-344.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Iiro Vasa,,1.0,,,,,,Short
30-15,0-1,0-0,,873194,,,9,,3,Deuce,Rudy Quan,Near,,,,,,,,,,91.0,-459.0,Down the Line,Forehand,,,,,,,,,,59.0,237.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Rudy Quan,,,,,,,,Short
30-15,0-1,0-0,,874416,,,9,,4,Ad,Rudy Quan,Near,,,,,,,,,,38.0,444.0,Down the Line,Forehand,,,,,,,,,,67.0,-408.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Iiro Vasa,,1.0,,,,,,Deep
30-15,0-1,0-0,,875491,,,9,,5,Deuce,Rudy Quan,Near,,,,,,,,,,88.0,-493.0,Crosscourt,Forehand,,,,,,,,,,-45.0,282.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Rudy Quan,,,,,,,,Short
30-15,0-1,0-0,,876798,,,9,,6,Deuce,Rudy Quan,Near,,,,,,,,,,-56.0,447.0,Crosscourt,Forehand,,,,,,,,,,83.0,-288.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Iiro Vasa,,,,,,,,Short
30-15,0-1,0-0,,878555,,,9,,7,Deuce,Rudy Quan,Near,,,,,,,,,,160.0,-477.0,Down the Line,Forehand,,,,,,,,,,54.0,412.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Rudy Quan,,,,,,,,Deep
30-15,0-1,0-0,,879685,1.0,881211.0,9,,8,Ad,Rudy Quan,Near,,,,,,,,,,32.0,460.0,Crosscourt,Backhand,,,,,,,,,,-117.0,-507.0,,,,,1.0,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Iiro Vasa,,,,Rudy Quan,1,,,Long
40-15,0-1,0-0,1.0,881201,,,10,,1,Deuce,Rudy Quan,Near,0.0,T,-42.0,-2.0,1.0,T,-42.0,174.0,,,,,,,,,,,,,,,,,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Rudy Quan,,,,,,2nd Serve In,T,
40-15,0-1,0-0,,922440,,,10,,2,Deuce,Rudy Quan,Near,,,,,,,,,,-61.0,434.0,Down the Line,Backhand,,,,,,,,,,-42.0,-448.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Iiro Vasa,,1.0,,,,,,Deep
40-15,0-1,0-0,,923572,,,10,,3,Ad,Rudy Quan,Near,,,,,,,,,,-45.0,-491.0,Crosscourt,Backhand,1.0,,,,,,,,,72.0,263.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Rudy Quan,,,,,,,,Short
40-15,0-1,0-0,,925212,,,10,,4,Ad,Rudy Quan,Near,,,,,,,,,,78.0,442.0,Crosscourt,Backhand,,,,,,,,,,-82.0,-446.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Iiro Vasa,,,,,,,,Deep
40-15,0-1,0-0,,926904,,,10,,5,Ad,Rudy Quan,Near,,,,,,,,,,-138.0,-523.0,Crosscourt,Backhand,,,,,,,,,,46.0,146.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Rudy Quan,,,,,,,,Short
