pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,tiebreakScore,returnerName,shotHitBy,isInsideOut,isInsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
0-0,3-3,0-1,1.0,4116756,,,88,,1,Deuce,Catherine Gagnon,Near,1.0,Body,-67.0,204.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Anne Lutkemeyer,Catherine Gagnon,,,,,0,1st Serve In,Body,
0-0,3-3,0-1,,4122171,,,88,,2,Deuce,Catherine Gagnon,Near,,,,,,,,,,-133.0,475.0,Down the Line,Forehand,,,,,,,,,,-16.0,-321.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Anne Lutkemeyer,Anne Lutkemeyer,,,,,0,,,Short
0-0,3-3,0-1,,4123444,,,88,,3,Ad,Catherine Gagnon,Near,,,,,,,,,,-59.0,-495.0,Down the Line,Forehand,,,,,,,,,,-48.0,367.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Anne Lutkemeyer,Catherine Gagnon,,1,,,0,,,Deep
0-0,3-3,0-1,,4124818,1.0,,88,,4,Deuce,Catherine Gagnon,Near,,,,,,,,,,-91.0,491.0,Down the Line,Forehand,,,,,,,,,,-189.0,-1.0,,1.0,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Anne Lutkemeyer,Anne Lutkemeyer,,,,Catherine Gagnon,1,,,
0-15,3-3,0-1,1.0,4128625,,,89,,1,Ad,Catherine Gagnon,Near,1.0,Wide,138.0,220.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Anne Lutkemeyer,Catherine Gagnon,,,,,0,1st Serve In,Wide,
0-15,3-3,0-1,,4149365,,,89,,2,Ad,Catherine Gagnon,Near,,,,,,,,,,154.0,486.0,Crosscourt,Backhand,,,,,,,,,,-45.0,-339.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Anne Lutkemeyer,Anne Lutkemeyer,,,,,0,,,Short
0-15,3-3,0-1,,4150887,,,89,,3,Ad,Catherine Gagnon,Near,,,,,,,,,,-152.0,-505.0,Down the Line,Backhand,,,,,,,,,,-43.0,303.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Anne Lutkemeyer,Catherine Gagnon,,,,,0,,,Short
0-15,3-3,0-1,,4152357,,,89,,4,Ad,Catherine Gagnon,Near,,,,,,,,,,16.0,433.0,Crosscourt,Forehand,,,,,,,,,,-75.0,-209.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Anne Lutkemeyer,Anne Lutkemeyer,1,,,,0,,,Short
0-15,3-3,0-1,,4153727,,,89,,5,Ad,Catherine Gagnon,Near,,,,,,,,,,-96.0,-489.0,Crosscourt,Backhand,,,,,,,1.0,,,35.0,92.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Anne Lutkemeyer,Catherine Gagnon,,,,,0,,,Short
0-15,3-3,0-1,,4154557,1.0,,89,,6,Ad,Catherine Gagnon,Near,,,,,,,,,,32.0,123.0,Crosscourt,Forehand,,,,,,,,,,-93.0,-198.0,1.0,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Anne Lutkemeyer,Anne Lutkemeyer,1,,,Anne Lutkemeyer,0,,,Short
15-15,3-3,0-1,1.0,4157582,,,90,,1,Deuce,Catherine Gagnon,Near,0.0,Body,-77.0,-4.0,1.0,Body,-91.0,222.0,,,,,,,,,,,,,,,,,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Anne Lutkemeyer,Catherine Gagnon,,,,,0,2nd Serve In,Body,
15-15,3-3,0-1,,4206744,,,90,,2,Deuce,Catherine Gagnon,Near,,,,,,,,,,-88.0,441.0,Down the Line,Forehand,,,,,,,,,,-99.0,-353.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Anne Lutkemeyer,Anne Lutkemeyer,,,,,0,,,Deep
